id,adr,lat,long
186,ROUTE DÉPARTEMENTALE 950,301421.0,5033859.0
187,rue renoir,298359.0,5033143.0
188,D39,297803.0,5036272.0
189,RD 43,302819.0,5029194.0
190,"RD 191 Lieu dit : ""GRAND",165962.0,5083281.0
191,rue jules guesde,174816.0,5080625.0
192,RD 232 / RD 243,176447.0,5079692.0
193,D940,160550.0,5084546.0
194,Rue Jean Jaurès,172187.0,5080841.0
195,122 avenue Ferber,170179.0,5081537.0
196,84 rue de haute ville,174127.0,5086913.0
197,18 rue henri barbusse,176108.0,5081389.0
198,D940,163384.0,5061424.0
199,RD 52,165320.0,5066439.0
200,RD 901,163903.0,5068028.0
201,avenue de l'yser,160076.0,5063443.0
202,94 rue de LUCHEUX,267311.0,5043178.0
203,14 route de zelucq,169315.0,5051188.0
204,rue de l'église D 148E6,161412.0,5056189.0
205,D113,169832.0,5056715.0
206,avenue du vieux moulin e,164722.0,5052133.0
207,avenue du blanc pavé,162896.0,5052514.0
208,rue des alliés,239036.0,5063717.0
209,GRAND RUE,226290.0,5063380.0
210,rue de bretagne,240901.0,5063349.0
211,D157,230577.0,5063531.0
212,Grande rue,225655.0,5063797.0
213,D943,235561.0,5069467.0
214,Face au 97 Rue de Consta,241241.0,5063805.0
215,rue de monbus,234829.0,5062565.0
216,rue du bois,240934.0,5063717.0
217,D192,236145.0,5064846.0
218,rue constantinople,241361.0,5063675.0
219,Rue de merville,241237.0,5064123.0
220,D940/D48,163644.0,5017290.0
221,R D'ARREST,161532.0,5010796.0
222,"16, R DU MESNIL",164159.0,5009610.0
223,R DU GENERAL DE GAULLE,157859.0,5017596.0
224,RTE DE PENDE,156019.0,5016059.0
225,R DU MARECHAL FOCH,149319.0,5017914.0
226,D925 / D48,161003.0,5007682.0
227,R DE CATIGNY,161346.0,5014203.0
228,D940,150174.0,5013038.0
229,"8 BIS, R DE CATIGNY",161633.0,5012909.0
230,R DE QUESNOY,165599.0,5011688.0
231,D929,267079.0,5000804.0
232,R DU 11 NOVEMBRE,266388.0,4999609.0
233,R DE BIRMINGHAM,264871.0,5000375.0
234,RTE DE ST PIERRE DIVION,267660.0,5006713.0
235,"116, RTE DE BAPAUME",272710.0,5003975.0
236,route départementale 966,404784.0,4959855.0
237,RD 1044 - PR 78+ 897,375462.0,4952564.0
238,D1044,375523.0,4952690.0
239,Lieu dit Etrepoix,373228.0,4960686.0
240,RD 1044,375201.0,4951989.0
241,D89: PK13+515,391670.0,4947916.0
242,Départementale 25 / Dépa,376781.0,4954384.0
243,RD 82,328306.0,4896681.0
244,D86,335821.0,4898667.0
245,route de nanteuil,322624.0,4900594.0
246,153 route nationale,330591.0,4897518.0
247,D 933,340623.0,4889759.0
248,Intersection D1003/D82,327758.0,4904437.0
249,43 Bis Rue Ernest Vallée,331876.0,4896499.0
250,Les chaillots,342007.0,4893633.0
251,D11,332989.0,4895005.0
252,lieu dit Pertibout,345987.0,4894573.0
253,Rue de la Ferotterie,333051.0,4896244.0
254,D15,337105.0,4899086.0
255,PK 5 + 920,344769.0,4889540.0
256,Rue Charles de Gaulle,408369.0,4992110.0
257,rue du 8 mai 1945,407923.0,4992433.0
258,Avenue de Verdun,409055.0,4990960.0
259,RD 1043 PK 20+ 900,403659.0,4995690.0
260,Rue du Géneral LECLERC,414037.0,4992216.0
261,28 rue du baty,403134.0,4993371.0
262,RD 1043,398645.0,4996369.0
263,rue Marius Alliaume,407158.0,4997416.0
264,43 RUE DE LA ROCHE,413344.0,4992529.0
265,Route   Nationale,181959.0,4928661.0
266,D  153,188401.0,4921959.0
267,RD915,186188.0,4920627.0
268,RD 915,191236.0,4917391.0
269,RD 153,188599.0,4931125.0
270,D981,186803.0,4930473.0
271,rue du moulin de Conflan,221013.0,4933984.0
272,CD 44,223766.0,4930783.0
273,RD 1001,219672.0,4933690.0
274,D1001,220385.0,4926493.0
275,rue de Calais,219883.0,4933312.0
276,ROUTE DEPARTEMENTALE 100,219718.0,4930050.0
277,RUE DE HERMES,223596.0,4935144.0
278,,221636.0,4936378.0
279,RD1016,243335.0,4934335.0
280,06 rue victor hugo,246398.0,4932944.0
281,Rue Jean JAURES,244206.0,4932437.0
282,1083 rue principale,228665.0,4934828.0
283,Rue de la gare,231735.0,4935495.0
284,Chemin de la foret,225588.0,4936975.0
285,RD1001,216094.0,4936615.0
286,D137,225760.0,4932281.0
287,"75, cité saint epin",234676.0,4929846.0
288,RD137,235825.0,4931326.0
289,CD12,233557.0,4931325.0
290,route des étangs,293429.0,4938978.0
291,Route Départementale 332,288956.0,4933743.0
292,D200,277788.0,4936865.0
293,rue du grand ferré,271879.0,4935331.0
294,RN 31,272626.0,4940243.0
295,R ROBERT SCHUMAN,619348.0,4950538.0
296,D653,617761.0,4945943.0
297,ROUTE DU BENELUX,616491.0,4942706.0
298,RD 56,621154.0,4943842.0
